"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
" ,2025-07-19,Mumbai (BOM),Jodhpur (JDH),A319 (VT-SCV),1:15,1900-01-01 09:15:00,1900-01-01 09:25:00,1900-01-01 11:05:00,1900-01-01 10:40:00,10.0,-25.0,9.0,Saturday,-25.0,9.0,11.0,10.0,-25.0,11.0,5.0,Mumbai (BOM)-Jodhpur (JDH),9,5,153,28,10.0"
" ,2025-07-25,Mumbai (BOM),Goa (GOX),A20N (VT-IQZ),0:44,1900-01-01 09:15:00,1900-01-01 09:38:00,1900-01-01 10:30:00,1900-01-01 10:22:00,23.0,-8.0,9.0,Friday,-8.0,9.0,10.0,23.0,-8.0,10.0,4.0,Mumbai (BOM)-Goa (GOX),9,4,35,20,23.0"
" ,2025-07-24,Mumbai (BOM),Goa (GOX),A20N (VT-IPW),0:46,1900-01-01 09:15:00,1900-01-01 09:20:00,1900-01-01 10:30:00,1900-01-01 10:06:00,5.0,-24.0,9.0,Thursday,-24.0,9.0,10.0,5.0,-24.0,10.0,3.0,Mumbai (BOM)-Goa (GOX),9,3,29,20,5.0"
" ,2025-07-23,Mumbai (BOM),Goa (GOX),A20N (VT-IPW),0:44,1900-01-01 09:15:00,1900-01-01 09:49:00,1900-01-01 10:30:00,1900-01-01 10:33:00,34.0,3.0,9.0,Wednesday,3.0,9.0,10.0,34.0,3.0,10.0,2.0,Mumbai (BOM)-Goa (GOX),9,2,29,20,34.0"
" ,2025-07-22,Mumbai (BOM),Goa (GOX),A20N (VT-ISS),0:46,1900-01-01 09:15:00,1900-01-01 09:23:00,1900-01-01 10:30:00,1900-01-01 10:09:00,8.0,-21.0,9.0,Tuesday,-21.0,9.0,10.0,8.0,-21.0,10.0,1.0,Mumbai (BOM)-Goa (GOX),9,1,39,20,8.0"
" ,2025-07-21,Mumbai (BOM),Goa (GOX),A20N (VT-IXO),0:47,1900-01-01 09:15:00,1900-01-01 11:32:00,1900-01-01 10:30:00,1900-01-01 12:18:00,137.0,108.0,9.0,Monday,108.0,9.0,10.0,137.0,108.0,10.0,0.0,Mumbai (BOM)-Goa (GOX),9,0,49,20,137.0"
" ,2025-07-20,Mumbai (BOM),Goa (GOX),A20N (VT-IQG),0:50,1900-01-01 09:15:00,1900-01-01 09:24:00,1900-01-01 10:30:00,1900-01-01 10:14:00,9.0,-16.0,9.0,Sunday,-16.0,9.0,10.0,9.0,-16.0,10.0,6.0,Mumbai (BOM)-Goa (GOX),9,6,33,20,9.0"
" ,2025-07-19,Mumbai (BOM),Goa (GOX),A20N (VT-IXK),0:45,1900-01-01 09:15:00,1900-01-01 09:09:00,1900-01-01 10:30:00,1900-01-01 09:53:00,-6.0,-37.0,9.0,Saturday,-37.0,9.0,10.0,-6.0,-37.0,10.0,5.0,Mumbai (BOM)-Goa (GOX),9,5,48,20,-6.0"
" ,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TNY),1:23,1900-01-01 09:20:00,1900-01-01 09:55:00,1900-01-01 11:00:00,1900-01-01 11:18:00,35.0,18.0,9.0,Friday,18.0,9.0,11.0,35.0,18.0,11.0,4.0,Mumbai (BOM)-Bengaluru (BLR),9,4,71,5,35.0"
" ,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TNF),1:22,1900-01-01 09:20:00,1900-01-01 09:34:00,1900-01-01 11:00:00,1900-01-01 10:56:00,14.0,-4.0,9.0,Thursday,-4.0,9.0,11.0,14.0,-4.0,11.0,3.0,Mumbai (BOM)-Bengaluru (BLR),9,3,61,5,14.0"
" ,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TNQ),1:22,1900-01-01 09:20:00,1900-01-01 09:37:00,1900-01-01 11:00:00,1900-01-01 10:59:00,17.0,-1.0,9.0,Wednesday,-1.0,9.0,11.0,17.0,-1.0,11.0,2.0,Mumbai (BOM)-Bengaluru (BLR),9,2,66,5,17.0"
" ,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQB),1:17,1900-01-01 09:20:00,1900-01-01 09:51:00,1900-01-01 11:00:00,1900-01-01 11:08:00,31.0,8.0,9.0,Tuesday,8.0,9.0,11.0,31.0,8.0,11.0,1.0,Mumbai (BOM)-Bengaluru (BLR),9,1,74,5,31.0"
" ,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TNS),1:21,1900-01-01 09:20:00,1900-01-01 10:44:00,1900-01-01 11:00:00,1900-01-01 12:05:00,84.0,65.0,9.0,Monday,65.0,9.0,11.0,84.0,65.0,11.0,0.0,Mumbai (BOM)-Bengaluru (BLR),9,0,67,5,84.0"
" ,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQM),1:21,1900-01-01 09:20:00,1900-01-01 09:19:00,1900-01-01 11:00:00,1900-01-01 10:40:00,-1.0,-20.0,9.0,Sunday,-20.0,9.0,11.0,-1.0,-20.0,11.0,6.0,Mumbai (BOM)-Bengaluru (BLR),9,6,82,5,-1.0"
" ,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A20N (VT-TQR),1:18,1900-01-01 09:20:00,1900-01-01 09:27:00,1900-01-01 11:00:00,1900-01-01 10:44:00,7.0,-16.0,9.0,Saturday,-16.0,9.0,11.0,7.0,-16.0,11.0,5.0,Mumbai (BOM)-Bengaluru (BLR),9,5,86,5,7.0"
" ,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-RTU),1:51,1900-01-01 09:25:00,1900-01-01 09:49:00,1900-01-01 11:40:00,1900-01-01 11:40:00,24.0,0.0,9.0,Friday,0.0,9.0,11.0,24.0,0.0,11.0,4.0,Mumbai (BOM)-Delhi (DEL),9,4,57,12,24.0"
" ,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TQL),1:43,1900-01-01 09:25:00,1900-01-01 09:41:00,1900-01-01 11:40:00,1900-01-01 11:25:00,16.0,-15.0,9.0,Thursday,-15.0,9.0,11.0,16.0,-15.0,11.0,3.0,Mumbai (BOM)-Delhi (DEL),9,3,81,12,16.0"
" ,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TNW),1:43,1900-01-01 09:25:00,1900-01-01 09:46:00,1900-01-01 11:40:00,1900-01-01 11:30:00,21.0,-10.0,9.0,Wednesday,-10.0,9.0,11.0,21.0,-10.0,11.0,2.0,Mumbai (BOM)-Delhi (DEL),9,2,70,12,21.0"
" ,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-RIO),1:53,1900-01-01 09:25:00,1900-01-01 09:33:00,1900-01-01 11:40:00,1900-01-01 11:26:00,8.0,-14.0,9.0,Tuesday,-14.0,9.0,11.0,8.0,-14.0,11.0,1.0,Mumbai (BOM)-Delhi (DEL),9,1,52,12,8.0"
" ,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-EXG),1:45,1900-01-01 09:25:00,1900-01-01 10:36:00,1900-01-01 11:40:00,1900-01-01 12:21:00,71.0,41.0,9.0,Monday,41.0,9.0,11.0,71.0,41.0,11.0,0.0,Mumbai (BOM)-Delhi (DEL),9,0,5,12,71.0"
" ,2025-07-20,Mumbai (BOM),Delhi (DEL),A20N (VT-RTJ),1:47,1900-01-01 09:25:00,1900-01-01 09:32:00,1900-01-01 11:40:00,1900-01-01 11:19:00,7.0,-21.0,9.0,Sunday,-21.0,9.0,11.0,7.0,-21.0,11.0,6.0,Mumbai (BOM)-Delhi (DEL),9,6,53,12,7.0"
" ,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-RTZ),1:42,1900-01-01 09:25:00,1900-01-01 09:37:00,1900-01-01 11:40:00,1900-01-01 11:19:00,12.0,-21.0,9.0,Saturday,-21.0,9.0,11.0,12.0,-21.0,11.0,5.0,Mumbai (BOM)-Delhi (DEL),9,5,58,12,12.0"
" ,2025-07-24,Mumbai (BOM),London (LHR),B772 (G-YMMS),8:52,1900-01-01 09:30:00,1900-01-01 09:56:00,1900-01-01 14:55:00,1900-01-01 14:17:00,26.0,-38.0,9.0,Thursday,-38.0,9.0,14.0,26.0,-38.0,14.0,3.0,Mumbai (BOM)-London (LHR),9,3,190,34,26.0"
